Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH,Type
3727,B15BW,11/13/2016,12:00 AM,TBS (H),14394,Lodi-Santos-BU15B,14012,Sportfriends-Fett-BU15B,
3728,B15BW,11/13/2016,12:00 AM,TBS (V),14110,Warriors-Convery-BU15B,14701,Hoboken-Pellegrini-BU15BW,
3729,B15BW,11/20/2016,02:00 PM,NUT-FatherGlotzbach1,14394,Lodi-Santos-BU15B,14233,Nutley-Kirby-BU15B,
3730,B15BW,11/20/2016,07:00 PM,WALD-HSTurf-3,14574,Fairview-Macias-BU15B,14110,Warriors-Convery-BU15B,
3731,B15BW,11/20/2016,12:00 AM,TBS (H),14012,Sportfriends-Fett-BU15B,14701,Hoboken-Pellegrini-BU15BW,
3732,B15C,09/04/2016,12:00 AM,TBS (L),14599,NoValley-Yung-BU15C,13932,FairLawnAllSports-Talman-BU15C,
3733,B15C,09/04/2016,12:00 AM,TBS (L),14326,Arsenal-Schneider-BU15C,13897,Vikings-Weis-BU15C,
3734,B15C,09/04/2016,12:00 AM,TBS (L),14092,CougarSC-Siskind-BU15C,14419,GlenRidge-Juros-BU15C,
3735,B15C,09/04/2016,12:00 AM,TBS (L),14665,ENGLWD-Oviedo-BU15C,14668,Leonia-Safari-BU15C,
3736,B15C,09/04/2016,12:00 AM,TBS (L),14543,Rockland-Likos-BU15C,14657,Hackensack-Nerio-BU15C,
3737,B15C,09/11/2016,12:00 AM,TBS (V),13897,Vikings-Weis-BU15C,14665,ENGLWD-Oviedo-BU15C,
3738,B15C,09/11/2016,03:45 PM,NY-Rock-Veterans1,14668,Leonia-Safari-BU15C,14543,Rockland-Likos-BU15C,
3739,B15C,09/11/2016,01:00 PM,ARS-PVHS1,14317,JustOne-Rodriguez-BU15C,14326,Arsenal-Schneider-BU15C,
3740,B15C,09/11/2016,12:00 AM,TBS (V),14657,Hackensack-Nerio-BU15C,14599,NoValley-Yung-BU15C,
3741,B15C,09/11/2016,03:00 PM,COUGSC-OrangePark,13932,FairLawnAllSports-Talman-BU15C,14092,CougarSC-Siskind-BU15C,
3742,B15C,09/18/2016,12:00 AM,TBS (H),14092,CougarSC-Siskind-BU15C,14657,Hackensack-Nerio-BU15C,
3743,B15C,09/18/2016,09:00 AM,NWK-BranchBrook,14665,ENGLWD-Oviedo-BU15C,14317,JustOne-Rodriguez-BU15C,
3744,B15C,09/18/2016,12:00 AM,TBS (H),14543,Rockland-Likos-BU15C,13897,Vikings-Weis-BU15C,
3745,B15C,09/18/2016,01:00 PM,FL-FLHS Turf,14419,GlenRidge-Juros-BU15C,13932,FairLawnAllSports-Talman-BU15C,
3746,B15C,09/18/2016,12:00 AM,F1,14599,NoValley-Yung-BU15C,14668,Leonia-Safari-BU15C,
3747,B15C,09/25/2016,03:45 PM,NY-Rock-Veterans1,14317,JustOne-Rodriguez-BU15C,14543,Rockland-Likos-BU15C,
3748,B15C,09/25/2016,12:00 AM,TBS (V),14657,Hackensack-Nerio-BU15C,14419,GlenRidge-Juros-BU15C,
3749,B15C,09/25/2016,05:00 PM,Englewood-Denning,14326,Arsenal-Schneider-BU15C,14665,ENGLWD-Oviedo-BU15C,
3750,B15C,09/25/2016,12:00 AM,TBS (V),13897,Vikings-Weis-BU15C,14599,NoValley-Yung-BU15C,
3751,B15C,09/25/2016,01:00 PM,COUGSC-DeHart,14668,Leonia-Safari-BU15C,14092,CougarSC-Siskind-BU15C,
3752,B15C,10/02/2016,12:00 AM,F1,14419,GlenRidge-Juros-BU15C,14668,Leonia-Safari-BU15C,
3753,B15C,10/02/2016,12:00 AM,TBS (H),13932,FairLawnAllSports-Talman-BU15C,14657,Hackensack-Nerio-BU15C,
3754,B15C,10/02/2016,09:00 AM,NWK-BranchBrook,14599,NoValley-Yung-BU15C,14317,JustOne-Rodriguez-BU15C,
3755,B15C,10/02/2016,12:00 PM,ARS-PVHS1,14543,Rockland-Likos-BU15C,14326,Arsenal-Schneider-BU15C,
3756,B15C,10/02/2016,12:00 AM,TBS (B),14092,CougarSC-Siskind-BU15C,13897,Vikings-Weis-BU15C,
3757,B15C,10/16/2016,02:30 PM,NoVAL-OTHS turf,14326,Arsenal-Schneider-BU15C,14599,NoValley-Yung-BU15C,
3758,B15C,10/16/2016,03:30 PM,COUGSC-DeHart,14317,JustOne-Rodriguez-BU15C,14092,CougarSC-Siskind-BU15C,
3759,B15C,10/16/2016,10:00 AM,FL-FLHS Turf,14668,Leonia-Safari-BU15C,13932,FairLawnAllSports-Talman-BU15C,
3760,B15C,10/16/2016,12:00 AM,TBS (V),13897,Vikings-Weis-BU15C,14419,GlenRidge-Juros-BU15C,
3761,B15C,10/16/2016,04:30 PM,NY-Rock-Veterans1,14665,ENGLWD-Oviedo-BU15C,14543,Rockland-Likos-BU15C,
3762,B15C,10/23/2016,02:00 PM,ARS-PVHS1,14092,CougarSC-Siskind-BU15C,14326,Arsenal-Schneider-BU15C,
3763,B15C,10/23/2016,05:00 PM,Englewood-Denning,14599,NoValley-Yung-BU15C,14665,ENGLWD-Oviedo-BU15C,
3764,B15C,10/23/2016,12:00 AM,TBS (V),14657,Hackensack-Nerio-BU15C,14668,Leonia-Safari-BU15C,
3765,B15C,10/23/2016,09:00 AM,NWK-BranchBrook,14419,GlenRidge-Juros-BU15C,14317,JustOne-Rodriguez-BU15C,
3766,B15C,10/23/2016,12:00 AM,TBS (H),13932,FairLawnAllSports-Talman-BU15C,13897,Vikings-Weis-BU15C,
3767,B15C,10/30/2016,02:00 PM,FL-FLHS Turf,14317,JustOne-Rodriguez-BU15C,13932,FairLawnAllSports-Talman-BU15C,
3768,B15C,10/30/2016,12:00 PM,NoVAL-OTHS turf,14543,Rockland-Likos-BU15C,14599,NoValley-Yung-BU15C,
3769,B15C,10/30/2016,04:30 PM,COUGSC-OrangePark,14665,ENGLWD-Oviedo-BU15C,14092,CougarSC-Siskind-BU15C,
3770,B15C,10/30/2016,12:00 AM,TBS (B),13897,Vikings-Weis-BU15C,14657,Hackensack-Nerio-BU15C,
3771,B15C,10/30/2016,09:00 AM,GLENRDGE-WashFld,14326,Arsenal-Schneider-BU15C,14419,GlenRidge-Juros-BU15C,
3772,B15C,11/06/2016,12:00 AM,TBS (H),14668,Leonia-Safari-BU15C,13897,Vikings-Weis-BU15C,
3773,B15C,11/06/2016,12:00 AM,TBS (V),13932,FairLawnAllSports-Talman-BU15C,14326,Arsenal-Schneider-BU15C,
3774,B15C,11/06/2016,02:00 PM,NY-Rock-Veterans1,14092,CougarSC-Siskind-BU15C,14543,Rockland-Likos-BU15C,
3775,B15C,11/06/2016,12:00 AM,TBS (V),14657,Hackensack-Nerio-BU15C,14317,JustOne-Rodriguez-BU15C,
3776,B15C,11/06/2016,05:00 PM,Englewood-Denning,14419,GlenRidge-Juros-BU15C,14665,ENGLWD-Oviedo-BU15C,
3777,B15C,11/13/2016,08:00 AM,GLENRDGE-WashFld,14543,Rockland-Likos-BU15C,14419,GlenRidge-Juros-BU15C,
