123 Log Analyzer Report
Domain name:NCSA 2009
Using Filter: 
generated on Mon Jul 13 10:14:11 2009

Time Period:01/Jan/2009:00:01:02 - 13/Jul/2009:14:12:57 total 194 day(s)

General Statistics
Total Hits,5112439
Total Cached Hits,5112439
Average Hits Per Day,26352
Average Hits Per Hour,1100
Average Hits Per Visitor,13.8
Average Data Transferred per Hit,0.0 KB
Total Visitors,371052
Average Visitors Per Day ,1912
Average Time Spent,323 Seconds
Average PageViews per visitor,5.36
Average Downloads per visitor,0.04
Average Data Transferred per Visitor,0.0 KB
Total Uniq IPs,41445
Visitors Who Visit Once,22139
Visitors Who Visit more than Once,19306
Total PageViews,1990090
Average PageViews Per Day,10258
Total File Downloads,14215
Average File Downloads Per Day,73
Total Images,2139782
Average Images Per Day,11029
Total failed requests,265742
Total Incomplete File downloads requests,966
Number of visitors bookmarked your web site,183973
Total Data Transferred,0.00 KB
Average Data Transferred per Day,0.00 KB


Access Report
Daily Report
Date,Hits,Visitors,Uniq IPs,Data Transferred(KB)
Sun Apr 12 2009,4296,3 days 8 hours 55 mins 19 secs,4 mins 33 secs
Mon Apr 13 2009,12685,9 days 2 hours 13 mins 42 secs,5 mins 33 secs
Tue Apr 14 2009,12873,9 days 2 hours 46 mins 59 secs,5 mins 26 secs
Wed Apr 15 2009,11611,7 days 4 hours 3 mins 27 secs,4 mins 24 secs
Thu Apr 16 2009,11729,8 days 2 hours 20 mins 6 secs,5 mins 10 secs
Fri Apr 17 2009,10810,7 days 14 hours 4 mins 29 secs,5 mins 12 secs
Sat Apr 18 2009,10459,7 days 18 hours 56 mins 8 secs,4 mins 58 secs
Sun Apr 19 2009,23782,17 days 16 hours 4 mins 20 secs,5 mins 34 secs
Mon Apr 20 2009,30315,23 days 13 hours 8 mins 59 secs,7 mins 13 secs
Tue Apr 21 2009,18444,11 days 20 hours 36 mins 50 secs,5 mins 39 secs
Wed Apr 22 2009,14771,9 days 17 hours 4 mins 37 secs,5 mins 6 secs
Thu Apr 23 2009,12323,8 days 0 hours 44 mins 30 secs,4 mins 51 secs
Fri Apr 24 2009,12503,8 days 21 hours 11 mins 42 secs,5 mins 7 secs
Sat Apr 25 2009,9820,6 days 8 hours 44 mins 46 secs,4 mins 10 secs
Sun Apr 26 2009,20157,14 days 2 hours 22 mins 0 secs,5 mins 0 secs
Mon Apr 27 2009,25583,17 days 18 hours 54 mins 46 secs,6 mins 28 secs
Tue Apr 28 2009,16628,10 days 19 hours 21 mins 0 secs,5 mins 39 secs
Wed Apr 29 2009,14743,9 days 6 hours 31 mins 13 secs,5 mins 2 secs
Thu Apr 30 2009,11388,7 days 13 hours 58 mins 59 secs,4 mins 39 secs
Fri May 01 2009,13155,9 days 0 hours 38 mins 32 secs,5 mins 2 secs
Sat May 02 2009,12407,9 days 2 hours 16 mins 55 secs,5 mins 0 secs
Sun May 03 2009,33346,24 days 17 hours 25 mins 59 secs,6 mins 3 secs
Mon May 04 2009,30875,22 days 17 hours 21 mins 55 secs,7 mins 0 secs
Tue May 05 2009,16816,11 days 11 hours 34 mins 51 secs,5 mins 30 secs
Wed May 06 2009,13516,9 days 22 hours 45 mins 43 secs,5 mins 24 secs
Thu May 07 2009,14506,11 days 18 hours 38 mins 37 secs,5 mins 49 secs
Fri May 08 2009,13029,9 days 11 hours 30 mins 19 secs,5 mins 13 secs
Sat May 09 2009,14690,10 days 19 hours 38 mins 19 secs,5 mins 34 secs
Sun May 10 2009,24962,18 days 10 hours 38 mins 39 secs,5 mins 32 secs
Mon May 11 2009,31886,22 days 22 hours 10 mins 0 secs,7 mins 0 secs
Tue May 12 2009,19259,13 days 7 hours 55 mins 40 secs,5 mins 45 secs
Wed May 13 2009,15969,9 days 23 hours 6 mins 4 secs,4 mins 56 secs
Thu May 14 2009,14141,8 days 22 hours 7 mins 45 secs,4 mins 44 secs
Fri May 15 2009,14423,10 days 3 hours 13 mins 45 secs,5 mins 22 secs
Sat May 16 2009,14107,9 days 23 hours 44 mins 0 secs,5 mins 4 secs
Sun May 17 2009,29948,21 days 21 hours 28 mins 17 secs,5 mins 44 secs
Mon May 18 2009,28407,19 days 19 hours 38 mins 27 secs,6 mins 20 secs
Tue May 19 2009,14401,9 days 12 hours 21 mins 29 secs,5 mins 9 secs
Wed May 20 2009,10474,6 days 10 hours 18 mins 19 secs,4 mins 3 secs
Thu May 21 2009,8721,5 days 11 hours 18 mins 46 secs,3 mins 58 secs
Fri May 22 2009,6886,4 days 21 hours 46 mins 35 secs,4 mins 32 secs
Sat May 23 2009,3318,2 days 8 hours 5 mins 59 secs,3 mins 35 secs
Sun May 24 2009,3183,2 days 3 hours 35 mins 55 secs,3 mins 12 secs
Mon May 25 2009,5082,3 days 12 hours 35 mins 35 secs,3 mins 56 secs
Tue May 26 2009,13996,9 days 14 hours 15 mins 9 secs,4 mins 59 secs
Wed May 27 2009,12710,8 days 23 hours 9 mins 48 secs,5 mins 1 secs
Thu May 28 2009,16358,10 days 11 hours 9 mins 8 secs,5 mins 26 secs
